budget_month,account_id,cost_center_id,budgeted_amount
2024-06-01,104,10,60210.71
2024-07-01,104,10,69862.25
2024-08-01,104,10,124346.24
2024-09-01,104,10,105947.83
2024-10-01,104,10,109354.22
2024-11-01,104,10,67004.41
2024-12-01,104,10,97074.06
2023-01-01,100,11,69340.23
2023-02-01,100,11,58323.5
2023-03-01,100,11,97435.64
2023-04-01,100,11,75266.54
2023-05-01,100,11,68318.85
2023-06-01,100,11,113614.52
2023-07-01,100,11,103985.71
2023-08-01,100,11,100419.23
2023-09-01,100,11,123226.71
2023-10-01,100,11,74291.85
2023-11-01,100,11,95388.75
2023-12-01,100,11,68317.6
2024-01-01,100,11,112612.42
2024-02-01,100,11,68841.27
2024-03-01,100,11,97922.98
2024-04-01,100,11,114353.81
2024-05-01,100,11,99315.97
2024-06-01,100,11,85341.23
2024-07-01,100,11,62996.7
2024-08-01,100,11,115218.02
2024-09-01,100,11,82980.43
2024-10-01,100,11,120409.98
2024-11-01,100,11,59154.83
2024-12-01,100,11,53344.97
2023-01-01,101,11,81882.93
2023-02-01,101,11,87991.61
2023-03-01,101,11,124314.31
2023-04-01,101,11,126375.21
2023-05-01,101,11,117411.57
2023-06-01,101,11,68528.03
2023-07-01,101,11,120402.96
2023-08-01,101,11,74618.14
2023-09-01,101,11,75751.33
2023-10-01,101,11,126022.98
2023-11-01,101,11,119301.6
2023-12-01,101,11,115207.58
2024-01-01,101,11,69596.19
2024-02-01,101,11,103883.98
2024-03-01,101,11,100656.73
2024-04-01,101,11,57180.66
2024-05-01,101,11,125765.46
2024-06-01,101,11,114453.74
2024-07-01,101,11,51556.72
2024-08-01,101,11,94489.66
2024-09-01,101,11,60657.65
2024-10-01,101,11,125029.63
2024-11-01,101,11,62245.94
2024-12-01,101,11,91186.08
2023-01-01,102,11,122721.88
2023-02-01,102,11,86659.3
2023-03-01,102,11,50528.85
2023-04-01,102,11,52728.22
2023-05-01,102,11,94546.28
2023-06-01,102,11,101816.43
2023-07-01,102,11,114890.59
2023-08-01,102,11,77642.92
2023-09-01,102,11,109746.36
2023-10-01,102,11,77629.96
2023-11-01,102,11,88856.77
2023-12-01,102,11,92021.27
2024-01-01,102,11,122788.6
2024-02-01,102,11,50282.05
2024-03-01,102,11,103096.08
2024-04-01,102,11,107700.32
2024-05-01,102,11,86860.7
2024-06-01,102,11,53820.5
2024-07-01,102,11,106394.12
2024-08-01,102,11,85537.86
2024-09-01,102,11,124250.63
2024-10-01,102,11,84881.88
2024-11-01,102,11,91308.64
2024-12-01,102,11,74534.1
2023-01-01,103,11,69776.9
2023-02-01,103,11,79078.41
2023-03-01,103,11,72812.99
2023-04-01,103,11,101913.69
2023-05-01,103,11,105151.98
2023-06-01,103,11,51096.19
2023-07-01,103,11,79389.92
2023-08-01,103,11,101857.74
2023-09-01,103,11,128535.86
2023-10-01,103,11,77720.54
2023-11-01,103,11,126238.3
2023-12-01,103,11,78901.87
2024-01-01,103,11,118915.18
2024-02-01,103,11,93301.97
2024-03-01,103,11,62052.3
2024-04-01,103,11,83936.84
2024-05-01,103,11,90978.56
2024-06-01,103,11,67502.08
2024-07-01,103,11,60820.52
2024-08-01,103,11,120112.12
2024-09-01,103,11,122491.3
2024-10-01,103,11,83333.32
2024-11-01,103,11,100999.57
2024-12-01,103,11,57346.58
2023-01-01,104,11,78207.7
2023-02-01,104,11,81260.74
2023-03-01,104,11,118276.66
2023-04-01,104,11,59638.13
2023-05-01,104,11,119098.12
2023-06-01,104,11,109726.54
2023-07-01,104,11,86805.36
2023-08-01,104,11,63153.19
2023-09-01,104,11,111224.13
2023-10-01,104,11,55893.14
2023-11-01,104,11,51895.0
2023-12-01,104,11,71423.14
2024-01-01,104,11,51718.0
2024-02-01,104,11,118458.66
2024-03-01,104,11,72731.6
2024-04-01,104,11,96995.71
2024-05-01,104,11,83201.18
2024-06-01,104,11,115773.3
2024-07-01,104,11,53271.01
2024-08-01,104,11,79501.43
2024-09-01,104,11,103717.8
2024-10-01,104,11,119339.75
2024-11-01,104,11,126903.36
2024-12-01,104,11,125143.5
2023-01-01,100,12,108652.96
2023-02-01,100,12,129967.08
2023-03-01,100,12,77249.35
2023-04-01,100,12,66389.12
2023-05-01,100,12,126381.48
2023-06-01,100,12,123705.53
2023-07-01,100,12,93124.73
2023-08-01,100,12,74847.51
2023-09-01,100,12,119737.76
2023-10-01,100,12,62757.21
2023-11-01,100,12,69443.2
2023-12-01,100,12,125938.44
2024-01-01,100,12,110433.67
2024-02-01,100,12,99073.39
2024-03-01,100,12,114690.11
2024-04-01,100,12,109070.53
2024-05-01,100,12,70884.92
2024-06-01,100,12,83904.5
2024-07-01,100,12,106419.66
2024-08-01,100,12,71719.41
2024-09-01,100,12,105589.4
2024-10-01,100,12,95323.12
2024-11-01,100,12,54314.05
2024-12-01,100,12,120415.44
2023-01-01,101,12,81592.93
2023-02-01,101,12,74700.55
2023-03-01,101,12,63751.77
2023-04-01,101,12,85189.67
2023-05-01,101,12,80462.45
2023-06-01,101,12,122974.77
2023-07-01,101,12,107531.51
2023-08-01,101,12,88824.96
2023-09-01,101,12,69402.52
2023-10-01,101,12,123940.08
2023-11-01,101,12,90668.56
2023-12-01,101,12,124444.48
2024-01-01,101,12,67553.14
2024-02-01,101,12,103671.52
2024-03-01,101,12,60518.71
2024-04-01,101,12,92174.74
2024-05-01,101,12,98617.84
2024-06-01,101,12,51227.43
2024-07-01,101,12,80773.62
2024-08-01,101,12,67329.28
2024-09-01,101,12,109098.6
2024-10-01,101,12,114502.03
2024-11-01,101,12,93258.65
2024-12-01,101,12,106224.73
2023-01-01,102,12,95305.4
2023-02-01,102,12,83068.53
2023-03-01,102,12,73319.17
2023-04-01,102,12,82228.65
2023-05-01,102,12,64512.42
2023-06-01,102,12,77689.76
2023-07-01,102,12,102414.78
2023-08-01,102,12,95848.46
2023-09-01,102,12,81726.6
2023-10-01,102,12,115535.08
2023-11-01,102,12,102927.5
2023-12-01,102,12,52259.39
2024-01-01,102,12,74356.35
2024-02-01,102,12,77179.35
2024-03-01,102,12,83561.92
2024-04-01,102,12,65023.69
2024-05-01,102,12,81467.94
2024-06-01,102,12,60258.19
2024-07-01,102,12,61159.5
2024-08-01,102,12,87844.81
2024-09-01,102,12,65417.05
2024-10-01,102,12,95767.52
2024-11-01,102,12,74704.07
2024-12-01,102,12,127424.37
2023-01-01,103,12,81104.67
2023-02-01,103,12,98763.19
2023-03-01,103,12,77968.2
2023-04-01,103,12,103972.24
2023-05-01,103,12,78971.67
2023-06-01,103,12,101146.14
2023-07-01,103,12,61415.55
2023-08-01,103,12,52981.33
2023-09-01,103,12,62376.48
2023-10-01,103,12,85565.21
2023-11-01,103,12,74117.96
2023-12-01,103,12,124376.22
2024-01-01,103,12,68732.14
2024-02-01,103,12,66748.92
2024-03-01,103,12,53115.01
2024-04-01,103,12,112496.34
2024-05-01,103,12,75561.63
2024-06-01,103,12,76432.65
2024-07-01,103,12,111768.99
2024-08-01,103,12,87394.29
2024-09-01,103,12,106242.43
2024-10-01,103,12,100429.25
2024-11-01,103,12,54368.11
2024-12-01,103,12,109385.75
2023-01-01,104,12,112901.37
2023-02-01,104,12,101188.16
2023-03-01,104,12,122570.29
2023-04-01,104,12,84084.65
2023-05-01,104,12,114382.99
2023-06-01,104,12,76952.79
2023-07-01,104,12,108724.27
2023-08-01,104,12,87132.71
2023-09-01,104,12,119916.92
2023-10-01,104,12,62734.01
2023-11-01,104,12,75794.79
2023-12-01,104,12,67305.43
2024-01-01,104,12,118237.35
2024-02-01,104,12,54073.45
2024-03-01,104,12,51010.63
2024-04-01,104,12,77626.72
2024-05-01,104,12,58128.33
2024-06-01,104,12,101551.86
2024-07-01,104,12,67869.02
2024-08-01,104,12,60801.97
2024-09-01,104,12,107461.46
2024-10-01,104,12,75163.7
2024-11-01,104,12,77363.7
2024-12-01,104,12,128776.6
