transaction_date,entity_id,sku_id,product_name,units_sold,actual_unit_price,budget_unit_price,budget_units
2023-03-02,2,202,Managed Support Plan,1,2259.96,900.00,3
2023-03-06,3,102,Data Integration Engine,3,1252.79,1200.00,3
2023-03-06,3,103,Cloud Connector License,1,2023.77,400.00,5
2023-03-07,1,201,Implementation & Onboarding,1,1594.52,1800.00,1
2023-03-07,1,203,Custom BI Consulting,1,683.37,300.00,2
2023-03-11,2,101,Enterprise Analytics Platform,1,2305.70,2500.00,1
2023-03-11,2,102,Data Integration Engine,1,1537.14,1200.00,1
2023-03-12,3,202,Managed Support Plan,2,780.63,900.00,2
2023-03-12,3,203,Custom BI Consulting,1,840.69,300.00,3
2023-03-16,1,101,Enterprise Analytics Platform,1,3238.87,2500.00,1
2023-03-16,1,103,Cloud Connector License,1,1388.09,400.00,3
2023-03-17,2,201,Implementation & Onboarding,2,1694.09,1800.00,2
2023-03-17,2,202,Managed Support Plan,1,2258.80,900.00,3
2023-03-21,3,102,Data Integration Engine,1,1415.32,1200.00,1
2023-03-21,3,103,Cloud Connector License,1,762.10,400.00,2
2023-03-22,1,201,Implementation & Onboarding,1,620.10,1800.00,1
2023-03-22,1,203,Custom BI Consulting,1,265.76,300.00,1
2023-03-26,2,101,Enterprise Analytics Platform,1,2141.95,2500.00,1
2023-03-26,2,102,Data Integration Engine,1,1427.96,1200.00,1
2023-03-27,3,202,Managed Support Plan,3,1004.91,900.00,3
2023-03-27,3,203,Custom BI Consulting,1,1623.35,300.00,5
2023-03-31,1,101,Enterprise Analytics Platform,1,2443.13,2500.00,1
2023-03-31,1,103,Cloud Connector License,1,1047.06,400.00,3
2023-04-01,2,201,Implementation & Onboarding,1,1192.90,1800.00,1
2023-04-01,2,202,Managed Support Plan,1,795.27,900.00,1
2023-04-05,3,102,Data Integration Engine,1,801.16,1200.00,1
2023-04-05,3,103,Cloud Connector License,1,431.40,400.00,1
2023-04-06,1,201,Implementation & Onboarding,1,2099.43,1800.00,1
2023-04-06,1,203,Custom BI Consulting,1,899.76,300.00,3
2023-04-10,2,101,Enterprise Analytics Platform,1,2751.37,2500.00,1
2023-04-10,2,102,Data Integration Engine,1,1834.24,1200.00,2
2023-04-11,3,202,Managed Support Plan,3,929.76,900.00,3
2023-04-11,3,203,Custom BI Consulting,1,1501.92,300.00,5
2023-04-15,1,101,Enterprise Analytics Platform,1,2269.75,2500.00,1
2023-04-15,1,103,Cloud Connector License,1,972.75,400.00,2
2023-04-16,2,201,Implementation & Onboarding,1,2062.06,1800.00,1
2023-04-16,2,202,Managed Support Plan,1,1374.71,900.00,2
2023-04-20,3,102,Data Integration Engine,1,1107.54,1200.00,1
2023-04-20,3,103,Cloud Connector License,1,596.37,400.00,1
2023-04-21,1,201,Implementation & Onboarding,1,718.27,1800.00,1
2023-04-21,1,203,Custom BI Consulting,1,307.83,300.00,1
2023-04-25,2,101,Enterprise Analytics Platform,1,761.68,2500.00,1
2023-04-25,2,102,Data Integration Engine,1,507.79,1200.00,1
2023-04-26,3,202,Managed Support Plan,2,820.04,900.00,2
2023-04-26,3,203,Custom BI Consulting,1,883.13,300.00,3
2023-04-30,1,101,Enterprise Analytics Platform,1,3374.97,2500.00,1
2023-04-30,1,103,Cloud Connector License,1,1446.41,400.00,4
2023-05-01,2,201,Implementation & Onboarding,2,1719.44,1800.00,2
2023-05-01,2,202,Managed Support Plan,1,2292.59,900.00,3
2023-05-05,3,102,Data Integration Engine,1,1231.65,1200.00,1
2023-05-05,3,103,Cloud Connector License,1,663.19,400.00,2
2023-05-06,1,201,Implementation & Onboarding,2,1835.03,1800.00,2
2023-05-06,1,203,Custom BI Consulting,1,1572.88,300.00,5
2023-05-10,2,101,Enterprise Analytics Platform,1,3367.49,2500.00,1
2023-05-10,2,102,Data Integration Engine,1,2245.00,1200.00,2
2023-05-11,3,202,Managed Support Plan,3,988.98,900.00,3
2023-05-11,3,203,Custom BI Consulting,1,1597.60,300.00,5
2023-05-15,1,101,Enterprise Analytics Platform,1,3151.26,2500.00,1
2023-05-15,1,103,Cloud Connector License,1,1350.54,400.00,3
2023-05-16,2,201,Implementation & Onboarding,2,1621.36,1800.00,2
2023-05-16,2,202,Managed Support Plan,1,2161.83,900.00,2
2023-05-20,3,102,Data Integration Engine,1,813.92,1200.00,1
2023-05-20,3,103,Cloud Connector License,1,438.26,400.00,1
2023-05-21,1,201,Implementation & Onboarding,1,570.20,1800.00,1
2023-05-21,1,203,Custom BI Consulting,1,244.37,300.00,1
2023-05-25,2,101,Enterprise Analytics Platform,1,1823.38,2500.00,1
2023-05-25,2,102,Data Integration Engine,1,1215.58,1200.00,1
2023-05-26,3,202,Managed Support Plan,1,807.38,900.00,1
2023-05-26,3,203,Custom BI Consulting,1,434.74,300.00,1
2023-05-30,1,101,Enterprise Analytics Platform,1,2103.50,2500.00,1
2023-05-30,1,103,Cloud Connector License,1,901.50,400.00,2
2023-05-31,2,201,Implementation & Onboarding,1,672.23,1800.00,1
2023-05-31,2,202,Managed Support Plan,1,448.16,900.00,1
2023-06-04,3,102,Data Integration Engine,1,574.46,1200.00,1
2023-06-04,3,103,Cloud Connector License,1,309.32,400.00,1
2023-06-05,1,201,Implementation & Onboarding,1,1941.99,1800.00,1
2023-06-05,1,203,Custom BI Consulting,1,832.28,300.00,3
2023-06-09,2,101,Enterprise Analytics Platform,1,2008.17,2500.00,1
2023-06-09,2,102,Data Integration Engine,1,1338.78,1200.00,1
2023-06-10,3,202,Managed Support Plan,2,727.14,900.00,2
2023-06-10,3,203,Custom BI Consulting,1,783.07,300.00,3
2023-06-14,1,101,Enterprise Analytics Platform,1,2605.21,2500.00,1
2023-06-14,1,103,Cloud Connector License,1,1116.52,400.00,3
2023-06-15,2,201,Implementation & Onboarding,2,1546.53,1800.00,2
2023-06-15,2,202,Managed Support Plan,1,2062.06,900.00,2
2023-06-19,3,102,Data Integration Engine,2,1264.81,1200.00,2
2023-06-19,3,103,Cloud Connector License,1,1362.12,400.00,3
2023-06-20,1,201,Implementation & Onboarding,1,823.13,1800.00,1
2023-06-20,1,203,Custom BI Consulting,1,352.77,300.00,1
2023-06-24,2,101,Enterprise Analytics Platform,1,1577.44,2500.00,1
2023-06-24,2,102,Data Integration Engine,1,1051.62,1200.00,1
2023-06-25,3,202,Managed Support Plan,2,1029.62,900.00,2
2023-06-25,3,203,Custom BI Consulting,1,1108.83,300.00,4
2023-06-29,1,101,Enterprise Analytics Platform,1,2956.38,2500.00,1
2023-06-29,1,103,Cloud Connector License,1,1267.02,400.00,3
2023-06-30,2,201,Implementation & Onboarding,1,570.77,1800.00,1
2023-06-30,2,202,Managed Support Plan,1,380.52,900.00,1
2023-07-04,3,102,Data Integration Engine,1,1544.62,1200.00,1
2023-07-04,3,103,Cloud Connector License,1,831.72,400.00,2
2023-07-05,1,201,Implementation & Onboarding,1,2682.46,1800.00,1
2023-07-05,1,203,Custom BI Consulting,1,1149.63,300.00,4
2023-07-09,2,101,Enterprise Analytics Platform,1,1471.18,2500.00,1
2023-07-09,2,102,Data Integration Engine,1,980.79,1200.00,1
2023-07-10,3,202,Managed Support Plan,3,820.37,900.00,3
2023-07-10,3,203,Custom BI Consulting,1,1325.21,300.00,4
2023-07-14,1,101,Enterprise Analytics Platform,2,2001.16,2500.00,2
2023-07-14,1,103,Cloud Connector License,1,1715.30,400.00,4
2023-07-15,2,201,Implementation & Onboarding,1,544.15,1800.00,1
2023-07-15,2,202,Managed Support Plan,1,362.76,900.00,1
2023-07-19,3,102,Data Integration Engine,1,1752.09,1200.00,1
2023-07-19,3,103,Cloud Connector License,1,943.44,400.00,2
2023-07-20,1,201,Implementation & Onboarding,1,2092.64,1800.00,1
2023-07-20,1,203,Custom BI Consulting,1,896.85,300.00,3
2023-07-24,2,101,Enterprise Analytics Platform,1,1372.73,2500.00,1
2023-07-24,2,102,Data Integration Engine,1,915.15,1200.00,1
2023-07-25,3,202,Managed Support Plan,4,907.52,900.00,4
2023-07-25,3,203,Custom BI Consulting,1,1954.69,300.00,7
2023-07-29,1,101,Enterprise Analytics Platform,1,1360.81,2500.00,1
2023-07-29,1,103,Cloud Connector License,1,583.20,400.00,1
2023-07-30,2,201,Implementation & Onboarding,1,1689.27,1800.00,1
2023-07-30,2,202,Managed Support Plan,1,1126.18,900.00,1
2023-08-03,3,102,Data Integration Engine,2,901.30,1200.00,2
2023-08-03,3,103,Cloud Connector License,1,970.64,400.00,2
2023-08-04,1,201,Implementation & Onboarding,2,1787.99,1800.00,2
2023-08-04,1,203,Custom BI Consulting,1,1532.57,300.00,5
2023-08-08,2,101,Enterprise Analytics Platform,1,441.95,2500.00,1
2023-08-08,2,102,Data Integration Engine,1,294.64,1200.00,1
2023-08-09,3,202,Managed Support Plan,2,1067.02,900.00,2
2023-08-09,3,203,Custom BI Consulting,1,1149.10,300.00,4
2023-08-13,1,101,Enterprise Analytics Platform,1,2276.39,2500.00,1
2023-08-13,1,103,Cloud Connector License,1,975.59,400.00,2
2023-08-14,2,201,Implementation & Onboarding,2,1412.74,1800.00,2
2023-08-14,2,202,Managed Support Plan,1,1883.67,900.00,2
2023-08-18,3,102,Data Integration Engine,1,1336.05,1200.00,1
2023-08-18,3,103,Cloud Connector License,1,719.41,400.00,2
2023-08-19,1,201,Implementation & Onboarding,1,796.67,1800.00,1
2023-08-19,1,203,Custom BI Consulting,1,341.43,300.00,1
2023-08-23,2,101,Enterprise Analytics Platform,1,3430.54,2500.00,1
2023-08-23,2,102,Data Integration Engine,1,2287.02,1200.00,2
2023-08-24,3,202,Managed Support Plan,2,703.87,900.00,2
2023-08-24,3,203,Custom BI Consulting,1,758.03,300.00,3
2023-08-28,1,101,Enterprise Analytics Platform,1,2187.20,2500.00,1
2023-08-28,1,103,Cloud Connector License,1,937.37,400.00,2
2023-08-29,2,201,Implementation & Onboarding,2,1697.40,1800.00,2
2023-08-29,2,202,Managed Support Plan,1,2263.21,900.00,3
2023-09-02,3,102,Data Integration Engine,2,975.89,1200.00,2
2023-09-02,3,103,Cloud Connector License,1,1050.98,400.00,3
2023-09-03,1,201,Implementation & Onboarding,2,2039.66,1800.00,2
2023-09-03,1,203,Custom BI Consulting,1,1748.30,300.00,6
2023-09-07,2,101,Enterprise Analytics Platform,1,1191.84,2500.00,1
2023-09-07,2,102,Data Integration Engine,1,794.56,1200.00,1
2023-09-08,3,202,Managed Support Plan,3,810.20,900.00,3
2023-09-08,3,203,Custom BI Consulting,1,1308.82,300.00,4
2023-09-12,1,101,Enterprise Analytics Platform,1,844.91,2500.00,1
2023-09-12,1,103,Cloud Connector License,1,362.11,400.00,1
2023-09-13,2,201,Implementation & Onboarding,1,2470.34,1800.00,1
2023-09-13,2,202,Managed Support Plan,1,1646.89,900.00,2
2023-09-17,3,102,Data Integration Engine,1,385.55,1200.00,1
2023-09-17,3,103,Cloud Connector License,1,207.61,400.00,1
2023-09-18,1,201,Implementation & Onboarding,1,2622.16,1800.00,1
2023-09-18,1,203,Custom BI Consulting,1,1123.79,300.00,4
2023-09-22,2,101,Enterprise Analytics Platform,1,312.89,2500.00,1
2023-09-22,2,102,Data Integration Engine,1,208.59,1200.00,1
2023-09-23,3,202,Managed Support Plan,1,819.60,900.00,1
2023-09-23,3,203,Custom BI Consulting,1,441.33,300.00,1
2023-09-27,1,101,Enterprise Analytics Platform,1,1859.61,2500.00,1
2023-09-27,1,103,Cloud Connector License,1,796.98,400.00,2
2023-09-28,2,201,Implementation & Onboarding,2,1418.45,1800.00,2
2023-09-28,2,202,Managed Support Plan,1,1891.27,900.00,2
2023-10-02,3,102,Data Integration Engine,1,788.40,1200.00,1
2023-10-02,3,103,Cloud Connector License,1,424.53,400.00,1
2023-10-03,1,201,Implementation & Onboarding,1,1729.98,1800.00,1
2023-10-03,1,203,Custom BI Consulting,1,741.42,300.00,2
2023-10-07,2,101,Enterprise Analytics Platform,1,1838.39,2500.00,1
2023-10-07,2,102,Data Integration Engine,1,1225.59,1200.00,1
2023-10-08,3,202,Managed Support Plan,1,555.27,900.00,1
2023-10-08,3,203,Custom BI Consulting,1,298.99,300.00,1
2023-10-12,1,101,Enterprise Analytics Platform,1,3171.60,2500.00,1
2023-10-12,1,103,Cloud Connector License,1,1359.26,400.00,3
2023-10-13,2,201,Implementation & Onboarding,2,1371.93,1800.00,2
2023-10-13,2,202,Managed Support Plan,1,1829.26,900.00,2
2023-10-17,3,102,Data Integration Engine,2,1113.25,1200.00,2
2023-10-17,3,103,Cloud Connector License,1,1198.90,400.00,3
2023-10-18,1,201,Implementation & Onboarding,2,1916.22,1800.00,2
2023-10-18,1,203,Custom BI Consulting,1,1642.47,300.00,5
2023-10-22,2,101,Enterprise Analytics Platform,1,2859.52,2500.00,1
2023-10-22,2,102,Data Integration Engine,1,1906.35,1200.00,2
2023-10-23,3,202,Managed Support Plan,1,1004.04,900.00,1
2023-10-23,3,203,Custom BI Consulting,1,540.63,300.00,2
2023-10-27,1,101,Enterprise Analytics Platform,1,3044.82,2500.00,1
2023-10-27,1,103,Cloud Connector License,1,1304.93,400.00,3
2023-10-28,2,201,Implementation & Onboarding,2,1511.68,1800.00,2
2023-10-28,2,202,Managed Support Plan,1,2015.57,900.00,2
2023-11-01,3,102,Data Integration Engine,1,955.40,1200.00,1
2023-11-01,3,103,Cloud Connector License,1,514.45,400.00,1
2023-11-02,1,201,Implementation & Onboarding,2,1401.25,1800.00,2
2023-11-02,1,203,Custom BI Consulting,1,1201.09,300.00,4
2023-11-06,2,101,Enterprise Analytics Platform,1,744.36,2500.00,1
2023-11-06,2,102,Data Integration Engine,1,496.24,1200.00,1
2023-11-07,3,202,Managed Support Plan,4,838.99,900.00,4
2023-11-07,3,203,Custom BI Consulting,1,1807.09,300.00,6
2023-11-11,1,101,Enterprise Analytics Platform,1,946.33,2500.00,1
2023-11-11,1,103,Cloud Connector License,1,405.57,400.00,1
2023-11-12,2,201,Implementation & Onboarding,1,2312.42,1800.00,1
2023-11-12,2,202,Managed Support Plan,1,1541.62,900.00,2
2023-11-16,3,102,Data Integration Engine,2,1440.60,1200.00,2
2023-11-16,3,103,Cloud Connector License,1,1551.42,400.00,4
2023-11-17,1,201,Implementation & Onboarding,1,1620.56,1800.00,1
2023-11-17,1,203,Custom BI Consulting,1,694.52,300.00,2
2023-11-21,2,101,Enterprise Analytics Platform,1,3300.45,2500.00,1
2023-11-21,2,102,Data Integration Engine,1,2200.30,1200.00,2
2023-11-22,3,202,Managed Support Plan,1,1332.83,900.00,1
2023-11-22,3,203,Custom BI Consulting,1,717.68,300.00,2
2023-11-26,1,101,Enterprise Analytics Platform,1,3635.20,2500.00,1
2023-11-26,1,103,Cloud Connector License,1,1557.94,400.00,4
2023-11-27,2,201,Implementation & Onboarding,1,1355.73,1800.00,1
2023-11-27,2,202,Managed Support Plan,1,903.82,900.00,1
2023-12-01,3,102,Data Integration Engine,1,1513.97,1200.00,1
2023-12-01,3,103,Cloud Connector License,1,815.21,400.00,2
2023-12-02,1,201,Implementation & Onboarding,2,1950.68,1800.00,2
2023-12-02,1,203,Custom BI Consulting,1,1672.03,300.00,6
2023-12-06,2,101,Enterprise Analytics Platform,1,2812.19,2500.00,1
2023-12-06,2,102,Data Integration Engine,1,1874.80,1200.00,2
2023-12-07,3,202,Managed Support Plan,1,1312.91,900.00,1
2023-12-07,3,203,Custom BI Consulting,1,706.95,300.00,2
2023-12-11,1,101,Enterprise Analytics Platform,1,594.73,2500.00,1
2023-12-11,1,103,Cloud Connector License,1,254.89,400.00,1
2023-12-12,2,201,Implementation & Onboarding,1,2557.71,1800.00,1
2023-12-12,2,202,Managed Support Plan,1,1705.14,900.00,2
2023-12-16,3,102,Data Integration Engine,2,1264.50,1200.00,2
2023-12-16,3,103,Cloud Connector License,1,1361.77,400.00,3
2023-12-17,1,201,Implementation & Onboarding,1,2494.72,1800.00,1
2023-12-17,1,203,Custom BI Consulting,1,1069.17,300.00,4
2023-12-21,2,101,Enterprise Analytics Platform,1,1449.68,2500.00,1
2023-12-21,2,102,Data Integration Engine,1,966.46,1200.00,1
2023-12-22,3,202,Managed Support Plan,4,893.08,900.00,4
2023-12-22,3,203,Custom BI Consulting,1,1923.55,300.00,6
2023-12-26,1,101,Enterprise Analytics Platform,2,1938.24,2500.00,2
2023-12-26,1,103,Cloud Connector License,1,1661.35,400.00,4
2023-12-27,2,201,Implementation & Onboarding,1,694.45,1800.00,1
2023-12-27,2,202,Managed Support Plan,1,462.96,900.00,1
2023-12-31,3,102,Data Integration Engine,1,884.60,1200.00,1
2023-12-31,3,103,Cloud Connector License,1,476.32,400.00,1
2024-01-01,1,201,Implementation & Onboarding,2,1914.67,1800.00,2
2024-01-01,1,203,Custom BI Consulting,1,1641.16,300.00,5
2024-01-05,2,101,Enterprise Analytics Platform,1,2144.60,2500.00,1
2024-01-05,2,102,Data Integration Engine,1,1429.74,1200.00,1
2024-01-06,3,202,Managed Support Plan,2,1070.47,900.00,2
2024-01-06,3,203,Custom BI Consulting,1,1152.83,300.00,4
2024-01-10,1,101,Enterprise Analytics Platform,1,712.59,2500.00,1
2024-01-10,1,103,Cloud Connector License,1,305.39,400.00,1
2024-01-11,2,201,Implementation & Onboarding,1,1927.39,1800.00,1
2024-01-11,2,202,Managed Support Plan,1,1284.92,900.00,1
2024-01-15,3,102,Data Integration Engine,1,1031.76,1200.00,1
2024-01-15,3,103,Cloud Connector License,1,555.56,400.00,1
2024-01-16,1,201,Implementation & Onboarding,1,1064.46,1800.00,1
2024-01-16,1,203,Custom BI Consulting,1,456.20,300.00,2
2024-01-20,2,101,Enterprise Analytics Platform,1,2562.32,2500.00,1
2024-01-20,2,102,Data Integration Engine,1,1708.21,1200.00,1
2024-01-21,3,202,Managed Support Plan,3,761.02,900.00,3
2024-01-21,3,203,Custom BI Consulting,1,1229.34,300.00,4
2024-01-25,1,101,Enterprise Analytics Platform,1,2555.94,2500.00,1
2024-01-25,1,103,Cloud Connector License,1,1095.40,400.00,3
2024-01-26,2,201,Implementation & Onboarding,1,993.59,1800.00,1
2024-01-26,2,202,Managed Support Plan,1,662.39,900.00,1
2024-01-30,3,102,Data Integration Engine,1,1613.36,1200.00,1
2024-01-30,3,103,Cloud Connector License,1,868.74,400.00,2
2024-01-31,1,201,Implementation & Onboarding,2,1777.15,1800.00,2
2024-01-31,1,203,Custom BI Consulting,1,1523.27,300.00,5
2024-02-04,2,101,Enterprise Analytics Platform,1,1104.45,2500.00,1
2024-02-04,2,102,Data Integration Engine,1,736.30,1200.00,1
2024-02-05,3,202,Managed Support Plan,4,917.21,900.00,4
2024-02-05,3,203,Custom BI Consulting,1,1975.54,300.00,7
2024-02-09,1,101,Enterprise Analytics Platform,1,1667.45,2500.00,1
2024-02-09,1,103,Cloud Connector License,1,714.62,400.00,2
2024-02-10,2,201,Implementation & Onboarding,2,1518.47,1800.00,2
2024-02-10,2,202,Managed Support Plan,1,2024.64,900.00,2
2024-02-14,3,102,Data Integration Engine,3,1228.51,1200.00,3
2024-02-14,3,103,Cloud Connector License,1,1984.51,400.00,5
2024-02-15,1,201,Implementation & Onboarding,2,1523.43,1800.00,2
2024-02-15,1,203,Custom BI Consulting,1,1305.81,300.00,4
2024-02-19,2,101,Enterprise Analytics Platform,1,1240.49,2500.00,1
2024-02-19,2,102,Data Integration Engine,1,826.99,1200.00,1
2024-02-20,3,202,Managed Support Plan,3,901.12,900.00,3
2024-02-20,3,203,Custom BI Consulting,1,1455.69,300.00,5
2024-02-24,1,101,Enterprise Analytics Platform,1,1975.96,2500.00,1
2024-02-24,1,103,Cloud Connector License,1,846.84,400.00,2
2024-02-25,2,201,Implementation & Onboarding,1,1891.02,1800.00,1
2024-02-25,2,202,Managed Support Plan,1,1260.68,900.00,1
2024-02-29,3,102,Data Integration Engine,1,1181.80,1200.00,1
2024-02-29,3,103,Cloud Connector License,1,636.35,400.00,2
2024-03-01,1,201,Implementation & Onboarding,1,1137.66,1800.00,1
2024-03-01,1,203,Custom BI Consulting,1,487.57,300.00,2
2024-03-05,2,101,Enterprise Analytics Platform,1,2824.55,2500.00,1
2024-03-05,2,102,Data Integration Engine,1,1883.04,1200.00,2
2024-03-06,3,202,Managed Support Plan,2,697.13,900.00,2
2024-03-06,3,203,Custom BI Consulting,1,750.77,300.00,3
2024-03-10,1,101,Enterprise Analytics Platform,1,708.32,2500.00,1
2024-03-10,1,103,Cloud Connector License,1,303.57,400.00,1
2024-03-11,2,201,Implementation & Onboarding,1,1185.62,1800.00,1
2024-03-11,2,202,Managed Support Plan,1,790.42,900.00,1
2024-03-15,3,102,Data Integration Engine,2,1197.73,1200.00,2
2024-03-15,3,103,Cloud Connector License,1,1289.86,400.00,3
2024-03-16,1,201,Implementation & Onboarding,2,1409.21,1800.00,2
2024-03-16,1,203,Custom BI Consulting,1,1207.89,300.00,4
2024-03-20,2,101,Enterprise Analytics Platform,1,3169.15,2500.00,1
2024-03-20,2,102,Data Integration Engine,1,2112.77,1200.00,2
2024-03-21,3,202,Managed Support Plan,2,685.33,900.00,2
2024-03-21,3,203,Custom BI Consulting,1,738.04,300.00,2
2024-03-25,1,101,Enterprise Analytics Platform,1,1265.97,2500.00,1
2024-03-25,1,103,Cloud Connector License,1,542.56,400.00,1
2024-03-26,2,201,Implementation & Onboarding,1,1538.44,1800.00,1
2024-03-26,2,202,Managed Support Plan,1,1025.63,900.00,1
2024-03-30,3,102,Data Integration Engine,2,999.51,1200.00,2
2024-03-30,3,103,Cloud Connector License,1,1076.40,400.00,3
2024-03-31,1,201,Implementation & Onboarding,2,1902.42,1800.00,2
2024-03-31,1,203,Custom BI Consulting,1,1630.66,300.00,5
2024-04-04,2,101,Enterprise Analytics Platform,1,3050.29,2500.00,1
2024-04-04,2,102,Data Integration Engine,1,2033.52,1200.00,2
2024-04-05,3,202,Managed Support Plan,1,1008.26,900.00,1
2024-04-05,3,203,Custom BI Consulting,1,542.91,300.00,2
2024-04-09,1,101,Enterprise Analytics Platform,1,2682.13,2500.00,1
2024-04-09,1,103,Cloud Connector License,1,1149.48,400.00,3
2024-04-10,2,201,Implementation & Onboarding,2,1660.65,1800.00,2
2024-04-10,2,202,Managed Support Plan,1,2214.20,900.00,2
2024-04-14,3,102,Data Integration Engine,1,974.51,1200.00,1
2024-04-14,3,103,Cloud Connector License,1,524.73,400.00,1
2024-04-15,1,201,Implementation & Onboarding,2,1909.41,1800.00,2
2024-04-15,1,203,Custom BI Consulting,1,1636.64,300.00,5
2024-04-19,2,101,Enterprise Analytics Platform,1,1606.97,2500.00,1
2024-04-19,2,102,Data Integration Engine,1,1071.31,1200.00,1
2024-04-20,3,202,Managed Support Plan,2,1084.53,900.00,2
2024-04-20,3,203,Custom BI Consulting,1,1167.96,300.00,4
2024-04-24,1,101,Enterprise Analytics Platform,1,1789.65,2500.00,1
2024-04-24,1,103,Cloud Connector License,1,766.99,400.00,2
2024-04-25,2,201,Implementation & Onboarding,1,1082.33,1800.00,1
2024-04-25,2,202,Managed Support Plan,1,721.55,900.00,1
2024-04-29,3,102,Data Integration Engine,1,1450.80,1200.00,1
2024-04-29,3,103,Cloud Connector License,1,781.20,400.00,2
2024-04-30,1,201,Implementation & Onboarding,2,1572.18,1800.00,2
2024-04-30,1,203,Custom BI Consulting,1,1347.58,300.00,4
2024-05-04,2,101,Enterprise Analytics Platform,1,898.81,2500.00,1
2024-05-04,2,102,Data Integration Engine,1,599.20,1200.00,1
2024-05-05,3,202,Managed Support Plan,3,939.66,900.00,3
2024-05-05,3,203,Custom BI Consulting,1,1517.92,300.00,5
2024-05-09,1,101,Enterprise Analytics Platform,1,3492.41,2500.00,1
2024-05-09,1,103,Cloud Connector License,1,1496.75,400.00,4
2024-05-10,2,201,Implementation & Onboarding,1,1540.69,1800.00,1
2024-05-10,2,202,Managed Support Plan,1,1027.12,900.00,1
2024-05-14,3,102,Data Integration Engine,2,1267.19,1200.00,2
2024-05-14,3,103,Cloud Connector License,1,1364.66,400.00,3
2024-05-15,1,201,Implementation & Onboarding,2,1355.34,1800.00,2
2024-05-15,1,203,Custom BI Consulting,1,1161.74,300.00,4
2024-05-19,2,101,Enterprise Analytics Platform,1,1729.60,2500.00,1
2024-05-19,2,102,Data Integration Engine,1,1153.06,1200.00,1
2024-05-20,3,202,Managed Support Plan,1,649.27,900.00,1
