month_date,entity_id,account_id,ending_balance
2024-06-01,2,210,13449.00
2024-06-01,2,220,13158.61
2024-06-01,3,110,40570.49
2024-06-01,3,120,26954.19
2024-06-01,3,130,11796.67
2024-06-01,3,210,9834.34
2024-06-01,3,220,8571.17
2024-07-01,1,110,43147.00
2024-07-01,1,120,25526.83
2024-07-01,1,130,12464.14
2024-07-01,1,210,10604.97
2024-07-01,1,220,9800.28
2024-07-01,2,110,43630.66
2024-07-01,2,120,23646.34
2024-07-01,2,130,13276.45
2024-07-01,2,210,10726.64
2024-07-01,2,220,9680.00
2024-07-01,3,110,41722.09
2024-07-01,3,120,21489.22
2024-07-01,3,130,8925.97
2024-07-01,3,210,6616.55
2024-07-01,3,220,9706.69
2024-08-01,1,110,41278.13
2024-08-01,1,120,20399.91
2024-08-01,1,130,8444.30
2024-08-01,1,210,6550.21
2024-08-01,1,220,11371.89
2024-08-01,2,110,43202.48
2024-08-01,2,120,21674.52
2024-08-01,2,130,9565.83
2024-08-01,2,210,6782.82
2024-08-01,2,220,10857.56
2024-08-01,3,110,40901.54
2024-08-01,3,120,17894.56
2024-08-01,3,130,10175.39
2024-08-01,3,210,6541.70
2024-08-01,3,220,8448.65
2024-09-01,1,110,35580.17
2024-09-01,1,120,17265.76
2024-09-01,1,130,9400.53
2024-09-01,1,210,6397.67
2024-09-01,1,220,8423.78
2024-09-01,2,110,39623.84
2024-09-01,2,120,17376.90
2024-09-01,2,130,14001.46
2024-09-01,2,210,8732.92
2024-09-01,2,220,7172.87
2024-09-01,3,110,51904.79
2024-09-01,3,120,20088.65
2024-09-01,3,130,7899.23
2024-09-01,3,210,4606.08
2024-09-01,3,220,12634.69
2024-10-01,1,110,43434.14
2024-10-01,1,120,24687.42
2024-10-01,1,130,14400.05
2024-10-01,1,210,8860.48
2024-10-01,1,220,9142.79
2024-10-01,2,110,42364.89
2024-10-01,2,120,26964.81
2024-10-01,2,130,16633.86
2024-10-01,2,210,9757.54
2024-10-01,2,220,6931.53
2024-10-01,3,110,42683.45
2024-10-01,3,120,14810.25
2024-10-01,3,130,16191.93
2024-10-01,3,210,9362.78
2024-10-01,3,220,7254.73
2024-11-01,1,110,53729.98
2024-11-01,1,120,18831.32
2024-11-01,1,130,18420.17
2024-11-01,1,210,11070.95
2024-11-01,1,220,10969.53
2024-11-01,2,110,35797.63
2024-11-01,2,120,23531.26
2024-11-01,2,130,14118.65
2024-11-01,2,210,8477.10
2024-11-01,2,220,5540.20
2024-11-01,3,110,44264.92
2024-11-01,3,120,17676.91
2024-11-01,3,130,11493.19
2024-11-01,3,210,7096.06
2024-11-01,3,220,9990.89
2024-12-01,1,110,34379.76
2024-12-01,1,120,13866.85
2024-12-01,1,130,5159.55
2024-12-01,1,210,3237.14
2024-12-01,1,220,8217.49
2024-12-01,2,110,53034.66
2024-12-01,2,120,16402.65
2024-12-01,2,130,17914.48
2024-12-01,2,210,11546.12
2024-12-01,2,220,10215.94
2024-12-01,3,110,39862.29
2024-12-01,3,120,18767.77
2024-12-01,3,130,9891.65
2024-12-01,3,210,6668.72
2024-12-01,3,220,9740.49
