reporting_month,account_id,cost_center_id,actual_amount,budget_amount,budget_variance_absolute,budget_variance_percentage
2024-09-01,102,11,8073.64,124250.63,-116176.99,-93.5
2024-10-01,102,11,9089.57,84881.88,-75792.31,-89.29
2024-11-01,102,11,7422.65,91308.64,-83885.99,-91.87
2024-12-01,102,11,9268.22,74534.1,-65265.88,-87.57
2023-01-01,103,11,4634.45,69776.9,-65142.45,-93.36
2023-02-01,103,11,9148.99,79078.41,-69929.42,-88.43
2023-03-01,103,11,7678.12,72812.99,-65134.87,-89.46
2023-04-01,103,11,9969.4,101913.69,-91944.29,-90.22
2023-05-01,103,11,6934.07,105151.98,-98217.91,-93.41
2023-06-01,103,11,6050.52,51096.19,-45045.67,-88.16
2023-07-01,103,11,4963.05,79389.92,-74426.87,-93.75
2023-08-01,103,11,8127.84,101857.74,-93729.9,-92.02
2023-09-01,103,11,5275.38,128535.86,-123260.48,-95.9
2023-10-01,103,11,10143.55,77720.54,-67576.99,-86.95
2023-11-01,103,11,6785.68,126238.3,-119452.62,-94.62
2023-12-01,103,11,6858.41,78901.87,-72043.46,-91.31
2024-01-01,103,11,5537.98,118915.18,-113377.2,-95.34
2024-02-01,103,11,3192.42,93301.97,-90109.55,-96.58
2024-03-01,103,11,6163.37,62052.3,-55888.93,-90.07
2024-04-01,103,11,6193.77,83936.84,-77743.07,-92.62
2024-05-01,103,11,5011.57,90978.56,-85966.99,-94.49
2024-06-01,103,11,6247.77,67502.08,-61254.31,-90.74
2024-07-01,103,11,5375.92,60820.52,-55444.6,-91.16
2024-08-01,103,11,8094.98,120112.12,-112017.14,-93.26
2024-09-01,103,11,5240.32,122491.3,-117250.98,-95.72
2024-10-01,103,11,7593.93,83333.32,-75739.39,-90.89
2024-11-01,103,11,3303.51,100999.57,-97696.06,-96.73
2024-12-01,103,11,6567.47,57346.58,-50779.11,-88.55
2023-01-01,104,11,5355.7,78207.7,-72852.0,-93.15
2023-02-01,104,11,4539.71,81260.74,-76721.03,-94.41
2023-03-01,104,11,4787.75,118276.66,-113488.91,-95.95
2023-04-01,104,11,5279.8,59638.13,-54358.33,-91.15
2023-05-01,104,11,8131.39,119098.12,-110966.73,-93.17
2023-06-01,104,11,8585.29,109726.54,-101141.25,-92.18
2023-07-01,104,11,7751.57,86805.36,-79053.79,-91.07
2023-08-01,104,11,7420.17,63153.19,-55733.02,-88.25
2023-09-01,104,11,1799.17,111224.13,-109424.96,-98.38
2023-10-01,104,11,9204.0,55893.14,-46689.14,-83.53
2023-11-01,104,11,5960.95,51895.0,-45934.05,-88.51
2023-12-01,104,11,6183.21,71423.14,-65239.93,-91.34
2024-01-01,104,11,6324.11,51718.0,-45393.89,-87.77
2024-02-01,104,11,10500.84,118458.66,-107957.82,-91.14
2024-03-01,104,11,3854.29,72731.6,-68877.31,-94.7
2024-04-01,104,11,8188.73,96995.71,-88806.98,-91.56
2024-05-01,104,11,4076.17,83201.18,-79125.01,-95.1
2024-06-01,104,11,10201.65,115773.3,-105571.65,-91.19
2024-07-01,104,11,7024.98,53271.01,-46246.03,-86.81
2024-08-01,104,11,6715.87,79501.43,-72785.56,-91.55
2024-09-01,104,11,5401.63,103717.8,-98316.17,-94.79
2024-10-01,104,11,3513.74,119339.75,-115826.01,-97.06
2024-11-01,104,11,5921.21,126903.36,-120982.15,-95.33
2024-12-01,104,11,10128.99,125143.5,-115014.51,-91.91
2023-01-01,100,12,6121.51,108652.96,-102531.45,-94.37
2023-02-01,100,12,5957.68,129967.08,-124009.4,-95.42
2023-03-01,100,12,7959.56,77249.35,-69289.79,-89.7
2023-04-01,100,12,2936.47,66389.12,-63452.65,-95.58
2023-05-01,100,12,3147.02,126381.48,-123234.46,-97.51
2023-06-01,100,12,4775.52,123705.53,-118930.01,-96.14
2023-07-01,100,12,5071.87,93124.73,-88052.86,-94.55
2023-08-01,100,12,4828.7,74847.51,-70018.81,-93.55
2023-09-01,100,12,3595.92,119737.76,-116141.84,-97.0
2023-10-01,100,12,4638.33,62757.21,-58118.88,-92.61
2023-11-01,100,12,5902.47,69443.2,-63540.73,-91.5
2023-12-01,100,12,7580.87,125938.44,-118357.57,-93.98
2024-01-01,100,12,4069.42,110433.67,-106364.25,-96.32
2024-02-01,100,12,7488.19,99073.39,-91585.2,-92.44
2024-03-01,100,12,6760.74,114690.11,-107929.37,-94.11
2024-04-01,100,12,3731.24,109070.53,-105339.29,-96.58
2024-05-01,100,12,7639.26,70884.92,-63245.66,-89.22
2024-06-01,100,12,6061.74,83904.5,-77842.76,-92.78
2024-07-01,100,12,5542.87,106419.66,-100876.79,-94.79
2024-08-01,100,12,4174.38,71719.41,-67545.03,-94.18
2024-09-01,100,12,6873.57,105589.4,-98715.83,-93.49
2024-10-01,100,12,2854.42,95323.12,-92468.7,-97.01
2024-11-01,100,12,5694.13,54314.05,-48619.92,-89.52
2024-12-01,100,12,2294.73,120415.44,-118120.71,-98.09
2023-01-01,101,12,5518.97,81592.93,-76073.96,-93.24
2023-02-01,101,12,9910.52,74700.55,-64790.03,-86.73
2023-03-01,101,12,7040.03,63751.77,-56711.74,-88.96
2023-04-01,101,12,6814.41,85189.67,-78375.26,-92.0
2023-05-01,101,12,5806.66,80462.45,-74655.79,-92.78
2023-06-01,101,12,5405.42,122974.77,-117569.35,-95.6
2023-07-01,101,12,9371.09,107531.51,-98160.42,-91.29
2023-08-01,101,12,5448.91,88824.96,-83376.05,-93.87
2023-09-01,101,12,5000.35,69402.52,-64402.17,-92.8
2023-10-01,101,12,2398.93,123940.08,-121541.15,-98.06
2023-11-01,101,12,7213.56,90668.56,-83455.0,-92.04
2023-12-01,101,12,7515.73,124444.48,-116928.75,-93.96
2024-01-01,101,12,6806.17,67553.14,-60746.97,-89.92
2024-02-01,101,12,9803.43,103671.52,-93868.09,-90.54
2024-03-01,101,12,4253.73,60518.71,-56264.98,-92.97
2024-04-01,101,12,4888.19,92174.74,-87286.55,-94.7
2024-05-01,101,12,5335.78,98617.84,-93282.06,-94.59
2024-06-01,101,12,9208.88,51227.43,-42018.55,-82.02
2024-07-01,101,12,6800.46,80773.62,-73973.16,-91.58
2024-08-01,101,12,6667.39,67329.28,-60661.89,-90.1
2024-09-01,101,12,6202.24,109098.6,-102896.36,-94.32
2024-10-01,101,12,7344.97,114502.03,-107157.06,-93.59
2024-11-01,101,12,6603.74,93258.65,-86654.91,-92.92
2024-12-01,101,12,10223.84,106224.73,-96000.89,-90.38
2023-01-01,102,12,3215.58,95305.4,-92089.82,-96.63
2023-02-01,102,12,8189.37,83068.53,-74879.16,-90.14
2023-03-01,102,12,5773.14,73319.17,-67546.03,-92.13
2023-04-01,102,12,4763.8,82228.65,-77464.85,-94.21
2023-05-01,102,12,11132.85,64512.42,-53379.57,-82.74
2023-06-01,102,12,7528.55,77689.76,-70161.21,-90.31
2023-07-01,102,12,14203.26,102414.78,-88211.52,-86.13
2023-08-01,102,12,4619.09,95848.46,-91229.37,-95.18
2023-09-01,102,12,5338.06,81726.6,-76388.54,-93.47
2023-10-01,102,12,7378.67,115535.08,-108156.41,-93.61
2023-11-01,102,12,2736.46,102927.5,-100191.04,-97.34
2023-12-01,102,12,6000.55,52259.39,-46258.84,-88.52
2024-01-01,102,12,2441.96,74356.35,-71914.39,-96.72
2024-02-01,102,12,4671.07,77179.35,-72508.28,-93.95
2024-03-01,102,12,4779.9,83561.92,-78782.02,-94.28
2024-04-01,102,12,6209.65,65023.69,-58814.04,-90.45
2024-05-01,102,12,7759.99,81467.94,-73707.95,-90.47
2024-06-01,102,12,7535.31,60258.19,-52722.88,-87.49
2024-07-01,102,12,5448.56,61159.5,-55710.94,-91.09
2024-08-01,102,12,5867.42,87844.81,-81977.39,-93.32
2024-09-01,102,12,4316.53,65417.05,-61100.52,-93.4
2024-10-01,102,12,8512.64,95767.52,-87254.88,-91.11
2024-11-01,102,12,5946.11,74704.07,-68757.96,-92.04
2024-12-01,102,12,5165.83,127424.37,-122258.54,-95.95
2023-01-01,103,12,4518.27,81104.67,-76586.4,-94.43
2023-02-01,103,12,3978.22,98763.19,-94784.97,-95.97
2023-03-01,103,12,4008.73,77968.2,-73959.47,-94.86
2023-04-01,103,12,9926.02,103972.24,-94046.22,-90.45
2023-05-01,103,12,5459.74,78971.67,-73511.93,-93.09
2023-06-01,103,12,4756.51,101146.14,-96389.63,-95.3
2023-07-01,103,12,6211.98,61415.55,-55203.57,-89.89
2023-08-01,103,12,7846.2,52981.33,-45135.13,-85.19
2023-09-01,103,12,6292.04,62376.48,-56084.44,-89.91
2023-10-01,103,12,5611.45,85565.21,-79953.76,-93.44
2023-11-01,103,12,3304.34,74117.96,-70813.62,-95.54
2023-12-01,103,12,9901.58,124376.22,-114474.64,-92.04
2024-01-01,103,12,7288.68,68732.14,-61443.46,-89.4
2024-02-01,103,12,4151.45,66748.92,-62597.47,-93.78
2024-03-01,103,12,5169.49,53115.01,-47945.52,-90.27
2024-04-01,103,12,9720.06,112496.34,-102776.28,-91.36
2024-05-01,103,12,2568.81,75561.63,-72992.82,-96.6
2024-06-01,103,12,9933.78,76432.65,-66498.87,-87.0
2024-07-01,103,12,5764.5,111768.99,-106004.49,-94.84
2024-08-01,103,12,8084.63,87394.29,-79309.66,-90.75
2024-09-01,103,12,9917.5,106242.43,-96324.93,-90.67
2024-10-01,103,12,8272.58,100429.25,-92156.67,-91.76
2024-11-01,103,12,6651.24,54368.11,-47716.87,-87.77
2024-12-01,103,12,5877.55,109385.75,-103508.2,-94.63
2023-01-01,104,12,5944.19,112901.37,-106957.18,-94.74
2023-02-01,104,12,3714.82,101188.16,-97473.34,-96.33
2023-03-01,104,12,7220.6,122570.29,-115349.69,-94.11
2023-04-01,104,12,3298.36,84084.65,-80786.29,-96.08
2023-05-01,104,12,5937.0,114382.99,-108445.99,-94.81
2023-06-01,104,12,4970.31,76952.79,-71982.48,-93.54
2023-07-01,104,12,4262.35,108724.27,-104461.92,-96.08
2023-08-01,104,12,4093.28,87132.71,-83039.43,-95.3
2023-09-01,104,12,10468.28,119916.92,-109448.64,-91.27
2023-10-01,104,12,7345.45,62734.01,-55388.56,-88.29
2023-11-01,104,12,3560.17,75794.79,-72234.62,-95.3
2023-12-01,104,12,3294.55,67305.43,-64010.88,-95.11
2024-01-01,104,12,8058.09,118237.35,-110179.26,-93.18
2024-02-01,104,12,3570.58,54073.45,-50502.87,-93.4
2024-03-01,104,12,2741.37,51010.63,-48269.26,-94.63
2024-04-01,104,12,7633.85,77626.72,-69992.87,-90.17
2024-05-01,104,12,4335.79,58128.33,-53792.54,-92.54
2024-06-01,104,12,1758.2,101551.86,-99793.66,-98.27
2024-07-01,104,12,8636.72,67869.02,-59232.3,-87.27
2024-08-01,104,12,5454.19,60801.97,-55347.78,-91.03
2024-09-01,104,12,11119.91,107461.46,-96341.55,-89.65
2024-10-01,104,12,3584.21,75163.7,-71579.49,-95.23
2024-11-01,104,12,8626.93,77363.7,-68736.77,-88.85
2024-12-01,104,12,7801.1,128776.6,-120975.5,-93.94
